Month,Demand,Supply,Waste_Generation,Pricing,Economic_Growth_Rate,Resource_Availability,Energy_Prices
2024-01-01,1049.6714153011233,1165.9625127365346,54.08052846836756,18.183699809153197,2.669487472686253,1100.6440752243195,66.53521497734393
2024-01-02,986.1735698828816,872.6137082664546,55.50797572273663,9.110908733070769,2.7425306467833637,1105.7094569460387,75.14140211708072
2024-01-03,1064.7688538100692,1326.4087107720097,54.44773807831595,9.955852838799968,2.7716511924883767,1091.855971790068,74.24087995396927
2024-01-04,1152.3029856408025,1187.5147657981631,41.743463171978576,7.670668987423748,3.1694967569047097,1105.704860860797,71.61333384738678
2024-01-05,976.5846625276664,1029.4121059693935,51.49363482271189,15.604565910016841,3.2281247442642664,1109.9441452820759,66.6911438420394
2024-01-06,976.586304305082,1132.8184677935656,53.641402960546614,19.936247677232146,1.477671730378419,1112.2055060393122,69.29783710169646
2024-01-07,1157.9212815507392,1242.9037012402644,50.07178466907942,12.417538931367467,3.510817606913804,1120.135542946487,59.29784890896145
2024-01-08,1076.7434729152908,1269.7139680022776,29.135223416289154,10.60575048383941,3.718184017121877,1102.440984435024,71.19885457787618
2024-01-09,953.0525614065048,1046.1211861867785,51.6048962397348,10.403212411485208,2.474906731319165,1102.7391108684717,71.83579595338755
2024-01-10,1054.2560043585966,1012.3903981625309,72.12531039397243,-1.6748234176129397,2.5138508776325827,1084.7682753582615,70.76618130583317
2024-01-11,953.6582307187538,1057.883759499669,46.39960731243017,13.999877128441632,2.774873306110864,1094.6858859886158,55.24311826634423
2024-01-12,953.4270246429743,831.868093544875,42.719229021446786,10.972367167698515,2.6219979902716974,1098.069179259934,63.792431809638664
2024-01-13,1024.1962271566035,1090.480183023082,53.73348559711398,12.470657621724678,3.111963436973303,1110.5031955227635,66.39112403312511
2024-01-14,808.6719755342202,853.6874769375511,53.123782104665715,6.799048678704284,2.026737356820568,1093.8899887591037,71.60083852559436
2024-01-15,827.5082167486967,846.2906881578157,61.92735165416414,8.461487534939103,2.44103619598163,1107.9634001974882,71.60020330014474
2024-01-16,943.7712470759027,974.4906203600631,37.42131844091112,8.35605952801045,3.7695986000874537,1099.9837828303662,69.31335472435462
2024-01-17,898.7168879665576,666.4395311419116,57.31380252574992,15.546711411593265,2.535890016325991,1098.2283188488523,73.35166627951102
2024-01-18,1031.4247332595273,999.1159970983831,55.904220612514635,8.572209588914358,3.6217141390514627,1102.4889396913325,65.05519163225743
2024-01-19,909.197592447879,973.1243276190462,48.57853463059454,20.906722663180567,3.1776690977950683,1096.0884362774716,73.24854344952261
2024-01-20,858.7696298664708,932.7480886660809,53.3868731792169,12.675145428408522,2.095366142705871,1095.7096275190734,72.58204385753278
2024-01-21,1146.5648768921553,1042.4136057532617,60.29457481598357,4.169832314056429,3.317664597608103,1082.9521409420988,72.1070719098036
2024-01-22,977.4223699513465,1217.2785460810514,58.72315380028451,9.932926428477058,2.9411663489035735,1097.520457926721,69.32006100246646
2024-01-23,1006.7528204687924,926.8265932366172,38.569806879262714,7.3446945646565185,2.7722664718751298,1095.2003185385126,79.39494719433175
2024-01-24,857.5251813786543,1052.9437614576648,58.20158186755484,-0.3414298929597701,3.122478546586002,1094.8401901065092,72.71817142490553
2024-01-25,945.5617275474817,1059.6408818282343,49.353113949674814,18.655249437411054,3.237316742783396,1104.1687306259005,65.42147857846903
2024-01-26,1011.0922589709866,964.158162494416,50.72874098015515,14.201019728643878,3.35379591098731,1106.586319527905,71.51565018569747
2024-01-27,884.9006422577697,1201.1972761491966,50.73196991001694,13.378755887742178,3.589126423774001,1102.3219450464233,74.04750460466934
